utm_campaign_name,marketing_event_type,marketing_event_target,orders,total_sales
15607d31cf-EMAIL_CAMPAIGN_2017_08_26_Cold_Shoulder,newsletter,,12,2983.20
New Subscriber Header,,,10,2941.20
05_04_2017_Image_2,,,11,2938.00
1651c47bf3-06.12.17 Summer Dressing Newsletter,,,12,2858.00
11.14.16 newsletter shop premier ponte,,,17,2840.20
48f17a1319-EMAIL_CAMPAIGN_2017_10_19_NEW,newsletter,,9,2826.00
01.30.17 newsletter shop ponte,,,16,2805.00
Main Navigation_Arrivals,,,11,2762.60
10.11.16 - Tuesdays most wanted,,,14,2751.00
05_08_2017_Newsletter,,,14,2734.40
Main Navigation_BOTTOMS,,,11,2706.00
c860750f76-New Subscriber Welcome Automation,follow_up,,8,2690.60
July_6_2017_newsletter_Collection,,,10,2688.00
2a2c6d2924-EMAIL_CAMPAIGN_2017_10_16,newsletter,,12,2644.00
July_6_2017_newsletter_Dresses,,,7,2514.00
300c57123c-August Launch_08_03,,,13,2511.00
01.26.17 newsletter shop resort,,,12,2507.00
31657866c6-EMAIL_CAMPAIGN_2017_09_11,newsletter,,15,2500.20
04.17..2017_FIT_Image_2,,,13,2414.00
June_8_2017_June_Captiva_paisley,,,6,2410.00
11.3.16 newsletter shop dresses,,,11,2396.00
03.23.17 newsletter shop ponte dresses,,,12,2385.00
JC - Brand (Phrase),,,13,2368.00
a27e9ddb1f-EMAIL_CAMPAIGN_2017_08_28_EOS_Sale,,,12,2343.60
498085e447-EMAIL_CAMPAIGN_2017_07_11,newsletter,email,9,2312.60
5978d2ed87-EMAIL_CAMPAIGN_2017_07_31,newsletter,,10,2312.40
July_6_2017_FB_Video_Launch_3_Traffic,,,4,2293.00
01.26.17 newsletter shop sale,,,16,2291.00
01.05.17 newsletter resort launch,,,8,2282.00
New Subscriber Email,,,5,2262.60
03.20.17 newsletter first day of spring,,,7,2256.00
01.23.17 newsletter shop sale reminder,,,23,2248.00
727602daa2-EMAIL_CAMPAIGN_2017_09_07_Launch,,,6,2231.20
5491a56044-EMAIL_CAMPAIGN_2017_08_30_Houston,newsletter,,13,2228.70
11.7.16 newsletter shop tiny dot crimson,,,9,2227.00
26ca5047ed-EMAIL_CAMPAIGN_2017_06_24,,,9,2220.00
05_02_email_Shop_Ponte,,,5,2208.00
03.23.17 newsletter shop dresses,,,11,2208.00
04.27..2017_Collection_link,,,12,2176.00
June_12_2017_Newsletter_Dresses,,,5,2171.00
June_5_2017_Newsletter_Oceans_Navy,,,8,2155.20
03.13.17 newsletter vacation essentials,,,9,2146.00
04.27..2017_seperates_link,,,8,2134.00
11.3.16 newsletter shop new arrivals,,,12,2130.20
8f92210122-EMAIL_CAMPAIGN_2017_07_27,newsletter,,8,2118.20
July_10_2017_Newsletter,,,8,2103.00
03.27.17 newsletter dress collection,,,7,2086.00
01.12.17 newsletter shop stripes,,,11,2072.80
02.21.17 newsletter shop feb,,,5,2047.00
05_22_2017_Image_1,,,7,2038.00
06_01_Newsletter_dresses,,,7,2028.00
02.06.17 newsletter shop stripes,,,13,2026.60
6ae45df2c1-EMAIL_CAMPAIGN_2017_10_26_2017,newsletter,,9,2010.00
05_25_Image_May Collections,,,5,1971.00
02.23.17 newsletter shop feb,,,6,1900.80
3a580662a9-EMAIL_CAMPAIGN_2017_07_24,newsletter,email,6,1896.00
november2017,,,5,1864.00
Main Navigation_tops,,,11,1856.00
05_04_2017_Image_3,,,7,1852.60
1bc67b00fd-EMAIL_CAMPAIGN_2017_08_14,newsletter,,12,1840.00
July_13_2017_Newsletter_Flash_Main_Image,,,9,1838.80
02.13.17 newsletter shop neutral stripe,,,5,1826.20
03.02.17 newsletter shop the looks,,,7,1818.00
05_15_2017_Newsletter_Image_1,,,12,1815.00
05_02_email_Shop_Dresses,,,10,1800.00
July_24_2017_Newsletter_Shop_Collection,,,8,1770.00
10.31.16 newsletter shop classic leopard,,,6,1706.00
eb5c444d7a-EMAIL_CAMPAIGN_2017_07_10,newsletter,email,5,1701.00
498085e447-EMAIL_CAMPAIGN_2017_07_11,,,5,1698.80
c788a0d68b-EMAIL_CAMPAIGN_2017_07_14,newsletter,,7,1679.00
12.1.16 newsletter shop sale dresses,,,16,1677.20
02.06.17 newsletter shop new sale,,,13,1667.00
11.17.16,,,9,1632.80
04.03.17 newsletter shop the collection,,,5,1626.00
12.12.16 newsletter crimson ponte,,,9,1612.20
4d2953ef3e-EMAIL_CAMPAIGN_2017_08_31,,,11,1609.20
12.12.16 newsletter holiday collection,,,6,1592.00
d75e9ce8c9-EMAIL_CAMPAIGN_2017_09_26,,,6,1589.00
04.24..2017_Image_1,,,13,1554.00
1a015d42ba-EMAIL_CAMPAIGN_2017_10_12,newsletter,,7,1546.00
04.17..2017_Shop_Dress_Collection_Image_1,,,9,1504.00
11.2.16 newsletter warehouse sale,,,7,1495.00
04.20.17,,,8,1491.00
02.16.17 newsletter shop feb,,,8,1475.00
11.14.16 newsletter shop dresses,,,9,1475.00
Fall Collection Sale,,,5,1468.00
562d093857-EMAIL_CAMPAIGN_2017_10_26,,,4,1451.00
12.8.16 newsletter new ponte styles,,,10,1448.00
JC - Brand (Broad),,,6,1436.20
June_8_2017_June_collection,,,4,1434.20
July_27_2017_Newsletter_Shop_New_Arrivals,,,11,1428.00
05_15_2017_Newsletter_Image_2,,,6,1374.00
04.10.2017_Easter Dressing,,,5,1366.00
July_20_2017_Newsletter_Shop_Collection,,,5,1366.00
03.23.17 newsletter shop bamboo lattice,,,7,1359.00
03.16.17 newsletter shop dresses,,,5,1356.00
June_12_2017_June_Shop-Megan,,,3,1326.00
11.25.16 newsletter bag launch,,,7,1259.20
71b5d8cb25-EMAIL_CAMPAIGN_2017_09_21_EOS,,,9,1255.20
03.13.17 newsletter shop dresses,,,6,1239.00
03.27.17 newsletter march collection,,,3,1236.00
607d05dc9c-EMAIL_CAMPAIGN_2017_07_31,,,7,1233.00
10.27.16 newsletter shop judes picks,,,6,1218.00
12.22.16 newsletter holiday collection,,,4,1209.00
05_25_Image_CLASSICS,,,3,1206.00
July_10_2017_Newsletter_Shop_Print,,,6,1190.20
July_10_2017_Newsletter_Dresses,,,3,1188.00
July_13_2017_Newsletter_Flash_Shop_Now_Button,newsletter,email,4,1151.80
Main Navigation_sale,,,5,1150.00
04.03.17 newsletter shop the look,,,5,1138.00
05_18_Image_Collection,,,6,1136.00
06.29.17,,,1,1128.00
85b381c35a-EMAIL_CAMPAIGN_2017_08_19,,,3,1118.20
12.29.16 newsletter gift with purchase,,,7,1115.00
57d44fdb0c-EMAIL_CAMPAIGN_2017_10_26,,,3,1098.00
02.23.17 newsletter shop judes picks,,,5,1096.00
fb8918d312-EMAIL_CAMPAIGN_2017_07_20,newsletter,email,5,1091.00
11.17.16 newsletter shop final sale tops,,,8,1081.40
4f64a9a35d-EMAIL_CAMPAIGN_2017_07_12,newsletter,email,5,1077.00
June_27_2017_newsletter_Collection,,,6,1068.00
03.09.17 newsletter scattered dot navy,,,3,1065.00
4f64a9a35d-EMAIL_CAMPAIGN_2017_07_12,,,3,1048.00
04.27..2017_Fit Guide_link,,,2,1037.00
12.5.16 newsletter accessories,,,6,1001.00
July_17_2017_Newsletter_Carissa_Button,,,4,1000.00
June_12_2017_June_Shop-collection,,,5,990.00
12.19.16 newsletter shop ponte,,,6,988.00
June_29_2017_Newsletter_New_Arrivals,,,2,980.00
11.7.16 newsletter shop brynn,,,6,979.00
11.10.16 newsletter shop premier ponte,,,5,958.20
JAN_5_Fiona,,,3,949.00
04.27..2017_Bailey wildflower_link,,,6,942.20
05_25_Image_1,,,5,942.00
02.09.17 newsletter shop giraffe,,,5,940.00
Resort_4_Launch_Lookalike,,,7,920.00
a882183140-EMAIL_CAMPAIGN_2017_10_09,,,3,918.40
new subscriber email spring find your fit,,,4,915.00
11.10.16 newsletter shop dresses,,,4,906.00
11.7.16 newsletter shop monique,,,4,901.00
12.26.16 newsletter topper launch,,,4,893.00
05_01_Post,,,5,890.00
08.24.17,,,6,890.00
10.23.17,,,4,881.00
03.16.17 newsletter shop the look,,,4,880.00
05_18_Image_Judes_Picks,,,3,880.00
12.15.16 newsletter holiday gift guide,,,3,849.00
05_30_Newsletter_Mary_Pat,,,3,845.00
01.23.17,,,3,841.00
