# ----------------------------------------
# rebeccaminkoff.com
# Channels
# 20160209-20171108
# ----------------------------------------

Source / Medium,Date,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
(direct) / (none),20160818,"8,935",63.19%,"5,646",18.56%,3.43,00:03:46,0.65%,58,"$10,620.53"
google / cpc,20170812,"8,928",55.91%,"4,992",32.37%,4.41,00:03:33,1.18%,105,"$15,869.97"
Rebecca Minkoff Newsletter / email,20160310,"8,923",23.71%,"2,116",12.44%,5.19,00:04:38,1.03%,92,"$28,910.49"
google / cpc,20160630,"8,916",41.06%,"3,661",25.09%,5.13,00:04:36,1.62%,144,"$17,884.76"
google / organic,20170511,"8,916",44.86%,"4,000",19.08%,5.66,00:05:27,1.42%,127,"$19,980.37"
bm23 / email,20160728,"8,883",17.74%,"1,576",26.78%,5.24,00:05:06,2.25%,200,"$31,157.57"
bm23 / email,20170104,"8,881",20.99%,"1,864",30.36%,4.01,00:03:17,0.47%,42,"$7,566.56"
eean / affiliate,20160604,"8,874",32.32%,"2,868",20.09%,4.85,00:04:21,1.28%,114,"$17,885.35"
(direct) / (none),20160726,"8,869",53.19%,"4,717",12.54%,2.60,00:04:36,0.30%,27,"$3,461.90"
Rebecca Minkoff Newsletter / email,20160306,"8,864",22.89%,"2,029",25.45%,3.84,00:03:06,0.20%,18,"$3,803.37"
bm23 / email,20170513,"8,852",22.28%,"1,972",30.89%,5.34,00:05:04,1.83%,162,"$27,119.29"
(direct) / (none),20161227,"8,846",67.85%,"6,002",27.16%,3.89,00:03:14,1.04%,92,"$11,113.98"
(direct) / (none),20171106,"8,814",68.55%,"6,042",43.79%,3.76,00:03:27,0.99%,87,"$15,190.61"
facebook / paidsocial,20160929,"8,789",42.01%,"3,692",34.69%,3.98,00:03:22,0.44%,39,"$8,867.18"
(direct) / (none),20160902,"8,784",69.93%,"6,143",18.34%,3.67,00:03:27,0.42%,37,"$6,465.06"
eean / affiliate,20160721,"8,777",37.59%,"3,299",34.39%,4.25,00:04:20,2.75%,241,"$32,539.66"
google / organic,20161027,"8,776",47.66%,"4,183",24.67%,5.71,00:05:28,1.23%,108,"$18,269.68"
ls / affiliate,20170813,"8,761",49.65%,"4,350",24.35%,4.34,00:04:17,2.83%,248,"$33,198.31"
(direct) / (none),20160517,"8,729",66.65%,"5,818",16.36%,3.21,00:02:48,0.66%,58,"$14,086.09"
(direct) / (none),20171022,"8,718",71.23%,"6,210",43.00%,3.89,00:03:47,0.96%,84,"$14,665.65"
bm23 / email,20160701,"8,710",24.36%,"2,122",28.40%,4.80,00:04:18,1.39%,121,"$16,583.04"
bm23 / email,20170309,"8,702",24.28%,"2,113",28.30%,5.30,00:04:53,1.25%,109,"$28,786.93"
bm23 / email,20170219,"8,695",22.39%,"1,947",29.48%,4.86,00:04:20,1.06%,92,"$16,600.27"
(direct) / (none),20171017,"8,691",69.53%,"6,043",39.90%,4.26,00:04:03,1.39%,121,"$25,171.38"
google / organic,20161225,"8,690",48.83%,"4,243",18.06%,5.67,00:04:56,1.01%,88,"$12,651.80"
ls / affiliate,20161029,"8,681",45.52%,"3,952",31.71%,4.26,00:04:00,2.59%,225,"$35,398.73"
twitter / social,20170509,"8,668",31.97%,"2,771",25.93%,4.97,00:04:30,1.28%,111,"$21,098.15"
ls / affiliate,20170125,"8,664",52.55%,"4,553",28.62%,3.58,00:03:11,0.98%,85,"$12,138.34"
google / cpc,20161121,"8,661",46.01%,"3,985",20.64%,5.16,00:04:15,1.00%,87,"$16,245.29"
