# ----------------------------------------
# rebeccaminkoff.com
# Channels
# 20160209-20171108
# ----------------------------------------

Source / Medium,Date,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
bm23 / email,20171102,"5,967",28.74%,"1,715",41.73%,3.16,00:02:56,0.67%,40,"$6,188.83"
google / organic,20160306,"5,967",48.94%,"2,920",19.88%,5.21,00:04:31,0.57%,34,"$7,318.00"
google / organic,20170311,"5,964",47.12%,"2,810",20.24%,6.19,00:05:20,0.65%,39,"$11,293.95"
google / cpc,20160213,"5,963",47.21%,"2,815",28.51%,4.95,00:03:55,0.87%,52,"$9,109.04"
(direct) / (none),20170218,"5,960",71.69%,"4,273",28.00%,2.88,00:02:09,0.39%,23,"$3,238.56"
google / organic,20160414,"5,959",51.15%,"3,048",15.77%,5.48,00:04:52,1.11%,66,"$11,844.68"
cj / affiliate,20160416,"5,957",62.21%,"3,706",17.89%,3.64,00:03:30,0.72%,43,"$6,476.83"
google / organic,20161217,"5,956",49.92%,"2,973",20.70%,5.57,00:04:50,1.09%,65,"$11,791.03"
google / organic,20161209,"5,955",50.58%,"3,012",19.66%,4.98,00:04:14,0.71%,42,"$6,730.23"
google / organic,20170116,"5,955",48.53%,"2,890",20.44%,4.84,00:04:06,0.52%,31,"$4,467.24"
google / cpc,20160902,"5,953",46.51%,"2,769",13.89%,5.89,00:04:39,1.60%,95,"$14,778.88"
bm23 / email,20170324,"5,952",26.36%,"1,569",31.07%,4.77,00:04:21,1.63%,97,"$13,856.03"
bm23 / email,20161022,"5,951",27.31%,"1,625",36.26%,3.67,00:02:50,0.72%,43,"$7,802.76"
cj / affiliate,20160311,"5,950",63.01%,"3,749",28.25%,3.42,00:03:47,0.72%,43,"$13,314.48"
google / organic,20170218,"5,947",46.93%,"2,791",19.07%,5.62,00:05:04,0.86%,51,"$8,608.94"
ls / affiliate,20160928,"5,947",45.25%,"2,691",27.64%,4.99,00:04:59,2.03%,121,"$19,430.14"
cj / affiliate,20160422,"5,945",53.14%,"3,159",18.86%,3.95,00:04:08,1.45%,86,"$13,833.34"
bm23 / email,20161119,"5,944",21.06%,"1,252",29.79%,5.30,00:04:43,1.43%,85,"$15,817.03"
google / organic,20160209,"5,944",51.03%,"3,033",26.50%,5.07,00:04:22,0.96%,57,"$9,390.55"
google / organic,20170312,"5,943",46.36%,"2,755",21.66%,5.86,00:04:56,0.84%,50,"$10,910.87"
google / organic,20160501,"5,942",52.89%,"3,143",15.52%,5.19,00:04:29,0.81%,48,"$8,754.43"
cj / affiliate,20160819,"5,941",35.87%,"2,131",18.58%,5.11,00:05:33,4.22%,251,"$34,908.74"
(direct) / (none),20161112,"5,940",64.75%,"3,846",24.95%,2.98,00:02:20,0.51%,30,"$4,837.41"
google / organic,20170101,"5,940",44.19%,"2,625",20.13%,5.92,00:05:04,1.23%,73,"$9,246.49"
bm23 / email,20161012,"5,939",27.34%,"1,624",39.18%,3.70,00:03:05,0.47%,28,"$6,534.74"
bm23 / email,20171028,"5,937",28.23%,"1,676",39.45%,4.08,00:04:58,1.85%,110,"$18,481.23"
(direct) / (none),20160525,"5,935",62.68%,"3,720",14.64%,2.67,00:02:27,0.79%,47,"$6,095.04"
google / organic,20160502,"5,934",50.72%,"3,010",16.48%,4.89,00:04:13,0.78%,46,"$7,827.13"
google / organic,20160407,"5,931",50.63%,"3,003",16.68%,4.59,00:03:57,0.44%,26,"$4,414.15"
google / cpc,20160209,"5,929",50.11%,"2,971",32.13%,4.84,00:03:34,1.20%,71,"$11,315.86"
google / organic,20170313,"5,929",45.54%,"2,700",20.48%,5.45,00:04:56,0.86%,51,"$13,619.30"
(direct) / (none),20170913,"5,924",74.27%,"4,400",55.28%,3.89,00:03:14,0.64%,38,"$6,300.35"
ls / affiliate,20170301,"5,915",66.73%,"3,947",22.67%,2.95,00:02:37,1.69%,100,"$17,269.56"
google / organic,20170209,"5,911",47.78%,"2,824",17.85%,5.38,00:04:44,0.74%,44,"$7,894.66"
google / organic,20160302,"5,910",48.51%,"2,867",25.48%,5.24,00:04:34,0.90%,53,"$11,800.53"
(direct) / (none),20160928,"5,907",63.45%,"3,748",23.07%,3.46,00:03:03,0.59%,35,"$5,249.64"
(direct) / (none),20170201,"5,903",68.88%,"4,066",25.53%,2.55,00:01:56,0.42%,25,"$5,010.70"
google / cpc,20160210,"5,903",47.11%,"2,781",30.10%,5.45,00:04:23,1.14%,67,"$10,862.90"
(direct) / (none),20160422,"5,902",60.08%,"3,546",15.93%,2.75,00:02:11,0.39%,23,"$3,766.34"
bm23 / email,20170517,"5,900",18.08%,"1,067",31.24%,3.60,00:03:00,0.80%,47,"$6,778.21"
google / organic,20170424,"5,898",51.10%,"3,014",21.74%,4.45,00:03:55,0.59%,35,"$6,268.47"
(direct) / (none),20170203,"5,895",69.11%,"4,074",25.29%,2.69,00:01:53,0.37%,22,"$2,838.27"
google / cpc,20170109,"5,892",47.06%,"2,773",15.94%,5.29,00:03:54,0.98%,58,"$9,605.28"
(direct) / (none),20161210,"5,890",64.26%,"3,785",23.55%,2.73,00:01:53,0.81%,48,"$7,584.69"
google / organic,20170814,"5,890",45.52%,"2,681",19.29%,5.85,00:05:26,1.95%,115,"$18,454.94"
google / cpc,20160710,"5,887",55.22%,"3,251",30.49%,4.04,00:02:58,0.65%,38,"$4,591.83"
(direct) / (none),20160917,"5,885",51.81%,"3,049",17.01%,2.35,00:02:05,0.20%,12,"$2,191.89"
(direct) / (none),20161217,"5,885",62.67%,"3,688",24.21%,2.81,00:02:02,1.02%,60,"$9,394.37"
google / organic,20161203,"5,882",49.30%,"2,900",19.96%,5.22,00:04:28,0.68%,40,"$5,608.15"
bm23 / email,20160620,"5,877",28.14%,"1,654",38.15%,3.10,00:02:26,0.36%,21,"$3,627.69"
google / organic,20161029,"5,877",46.03%,"2,705",27.09%,5.32,00:04:38,1.17%,69,"$11,546.95"
google / organic,20161106,"5,877",49.87%,"2,931",18.19%,5.71,00:04:56,0.83%,49,"$8,564.77"
(direct) / (none),20170121,"5,875",63.08%,"3,706",23.25%,2.06,00:01:14,0.26%,15,"$2,659.84"
(direct) / (none),20160827,"5,874",51.89%,"3,048",12.87%,2.43,00:02:08,0.27%,16,"$3,866.89"
bm23 / email,20170311,"5,872",21.19%,"1,244",26.62%,4.38,00:03:25,0.68%,40,"$9,659.78"
google / organic,20160315,"5,872",45.88%,"2,694",20.16%,5.13,00:04:34,0.97%,57,"$17,386.26"
google / organic,20161202,"5,871",48.10%,"2,824",18.87%,5.21,00:04:27,0.75%,44,"$6,486.13"
google / cpc,20160706,"5,867",53.54%,"3,141",28.43%,4.09,00:03:03,0.97%,57,"$8,086.20"
google / organic,20170223,"5,867",46.94%,"2,754",18.44%,5.42,00:04:36,0.72%,42,"$6,053.16"
(direct) / (none),20160412,"5,861",56.20%,"3,294",11.79%,2.26,00:01:37,0.27%,16,"$4,006.26"
google / cpc,20161231,"5,861",40.32%,"2,363",22.47%,5.53,00:04:28,1.88%,110,"$16,278.08"
cj / affiliate,20160604,"5,860",41.88%,"2,454",24.01%,4.46,00:04:48,2.39%,140,"$20,214.41"
google / organic,20160718,"5,860",51.30%,"3,006",19.73%,4.92,00:04:21,0.85%,50,"$8,371.47"
google / organic,20160406,"5,856",48.65%,"2,849",17.21%,4.54,00:04:03,0.38%,22,"$4,166.11"
google / cpc,20161203,"5,852",44.82%,"2,623",17.52%,4.94,00:03:40,0.91%,53,"$8,753.15"
(direct) / (none),20160922,"5,850",61.50%,"3,598",20.70%,3.18,00:02:51,0.56%,33,"$5,745.88"
google / organic,20160307,"5,849",48.11%,"2,814",21.29%,5.54,00:04:46,0.82%,48,"$9,191.57"
(direct) / (none),20160610,"5,847",64.24%,"3,756",24.23%,2.76,00:02:05,0.41%,24,"$3,835.33"
google / organic,20161031,"5,844",46.77%,"2,733",26.44%,5.10,00:04:29,1.47%,86,"$15,574.95"
(direct) / (none),20170324,"5,843",74.52%,"4,354",28.19%,3.07,00:02:37,0.56%,33,"$4,243.10"
google / organic,20160911,"5,843",52.30%,"3,056",23.17%,5.34,00:04:34,0.50%,29,"$5,046.34"
google / cpc,20170104,"5,839",47.41%,"2,768",17.14%,4.73,00:03:34,0.67%,39,"$5,510.16"
google / organic,20170305,"5,838",49.30%,"2,878",18.52%,5.69,00:04:44,0.63%,37,"$6,748.81"
bm23 / email,20160831,"5,836",26.68%,"1,557",33.77%,3.98,00:03:11,1.05%,61,"$9,872.80"
ls / affiliate,20171101,"5,836",51.54%,"3,008",47.76%,3.07,00:02:37,1.37%,80,"$13,120.30"
facebook / paidsocial,20161221,"5,835",30.49%,"1,779",18.11%,6.08,00:05:17,1.54%,90,"$13,399.50"
(direct) / (none),20170213,"5,830",67.72%,"3,948",22.81%,2.52,00:01:53,0.26%,15,"$2,477.83"
bm23 / email,20160719,"5,829",21.38%,"1,246",34.17%,4.46,00:04:11,2.02%,118,"$18,052.57"
eean / affiliate,20160605,"5,827",29.48%,"1,718",19.51%,4.80,00:04:36,1.63%,95,"$15,608.33"
(direct) / (none),20160411,"5,826",55.61%,"3,240",12.94%,2.27,00:01:37,0.46%,27,"$7,556.18"
google / organic,20160324,"5,826",49.78%,"2,900",19.88%,5.13,00:04:31,0.64%,37,"$10,143.92"
google / organic,20161210,"5,825",49.34%,"2,874",19.76%,5.34,00:04:33,0.77%,45,"$6,218.00"
google / organic,20170221,"5,825",46.75%,"2,723",17.58%,5.52,00:05:03,0.96%,56,"$10,494.08"
(direct) / (none),20160410,"5,823",55.33%,"3,222",11.45%,2.35,00:01:39,0.38%,22,"$3,819.10"
google / organic,20160404,"5,822",49.90%,"2,905",21.35%,4.85,00:04:13,0.48%,28,"$5,294.08"
(direct) / (none),20170128,"5,812",68.72%,"3,994",25.89%,2.32,00:01:31,0.38%,22,"$4,379.68"
google / organic,20160518,"5,809",46.76%,"2,716",13.51%,4.75,00:04:23,0.71%,41,"$6,539.15"
facebook / paidsocial,20161002,"5,804",56.98%,"3,307",43.38%,3.76,00:02:53,0.29%,17,"$2,784.95"
google / cpc,20161107,"5,804",46.81%,"2,717",17.26%,4.96,00:03:52,1.24%,72,"$10,838.22"
google / organic,20160910,"5,803",54.28%,"3,150",24.28%,5.07,00:04:30,0.62%,36,"$5,837.98"
google / organic,20160317,"5,801",50.73%,"2,943",19.29%,4.62,00:03:54,0.40%,23,"$5,644.53"
google / organic,20161115,"5,801",49.87%,"2,893",18.22%,5.55,00:04:51,0.79%,46,"$7,463.85"
(direct) / (none),20160427,"5,799",60.08%,"3,484",13.67%,2.82,00:02:22,0.55%,32,"$5,899.06"
google / organic,20170314,"5,797",47.85%,"2,774",21.03%,5.48,00:04:59,1.29%,75,"$19,003.75"
google / cpc,20171106,"5,795",55.50%,"3,216",34.94%,3.29,00:02:53,0.79%,46,"$6,956.14"
(direct) / (none),20160916,"5,794",51.24%,"2,969",18.04%,2.47,00:02:17,0.40%,23,"$4,026.50"
(direct) / (none),20161209,"5,794",63.65%,"3,688",24.39%,2.70,00:02:04,1.10%,64,"$11,196.47"
google / cpc,20161024,"5,794",49.69%,"2,879",18.00%,6.18,00:05:00,0.91%,53,"$9,256.54"
google / cpc,20161216,"5,794",44.84%,"2,598",20.28%,4.96,00:03:58,2.04%,118,"$18,769.41"
google / organic,20170324,"5,786",47.58%,"2,753",20.50%,4.81,00:04:24,0.78%,45,"$7,799.11"
(direct) / (none),20160409,"5,784",56.50%,"3,268",11.29%,2.28,00:01:32,0.29%,17,"$3,004.54"
google / cpc,20161210,"5,783",46.71%,"2,701",17.45%,4.94,00:03:39,1.07%,62,"$10,332.98"
google / organic,20160415,"5,782",48.11%,"2,782",16.26%,4.90,00:04:35,0.76%,44,"$8,490.35"
(direct) / (none),20160527,"5,781",59.94%,"3,465",14.98%,3.03,00:02:40,0.71%,41,"$5,503.50"
Borderfree / referral,20170512,"5,780",53.98%,"3,120",28.88%,4.57,00:04:04,0.62%,36,"$5,492.07"
Rebecca Minkoff Newsletter / email,20160502,"5,778",29.77%,"1,720",18.88%,3.55,00:03:02,0.80%,46,"$9,767.67"
google / cpc,20160517,"5,776",41.01%,"2,369",14.63%,4.38,00:03:28,1.19%,69,"$11,141.81"
(direct) / (none),20170704,"5,775",76.57%,"4,422",50.61%,3.76,00:03:04,0.76%,44,"$6,382.72"
Rebecca Minkoff Newsletter / email,20160311,"5,772",20.88%,"1,205",22.28%,4.76,00:04:15,0.99%,57,"$17,936.84"
eean / affiliate,20160801,"5,771",31.16%,"1,798",21.61%,4.06,00:04:08,1.52%,88,"$13,726.18"
ls / affiliate,20170213,"5,771",73.35%,"4,233",24.83%,2.01,00:01:20,0.71%,41,"$8,169.14"
(direct) / (none),20160718,"5,769",66.81%,"3,854",16.73%,2.59,00:01:58,0.54%,31,"$5,932.07"
(direct) / (none),20170127,"5,768",66.87%,"3,857",24.38%,2.45,00:01:41,0.57%,33,"$4,088.68"
(direct) / (none),20170710,"5,766",77.68%,"4,479",53.45%,3.52,00:02:49,0.55%,32,"$6,999.94"
google / organic,20160221,"5,763",49.35%,"2,844",27.02%,5.05,00:04:11,0.52%,30,"$5,919.17"
google / cpc,20170910,"5,761",51.28%,"2,954",34.14%,5.06,00:03:42,1.01%,58,"$11,147.38"
google / cpc,20171104,"5,758",56.95%,"3,279",37.25%,3.33,00:02:53,0.71%,41,"$7,389.96"
google / organic,20170315,"5,757",46.55%,"2,680",20.43%,5.47,00:05:04,1.13%,65,"$17,659.96"
google / organic,20161107,"5,756",47.69%,"2,745",17.77%,5.51,00:04:54,0.96%,55,"$8,255.68"
google / organic,20171029,"5,756",51.15%,"2,944",26.41%,4.51,00:05:12,1.48%,85,"$14,236.16"
google / cpc,20170125,"5,755",48.18%,"2,773",19.03%,4.71,00:03:37,0.97%,56,"$8,758.40"
google / cpc,20171108,"5,753",57.33%,"3,298",35.32%,3.24,00:02:51,0.64%,37,"$7,452.70"
bm23 / email,20171003,"5,751",29.18%,"1,678",36.32%,3.68,00:03:05,0.59%,34,"$6,067.00"
(direct) / (none),20170627,"5,749",75.67%,"4,350",52.84%,3.06,00:02:25,0.80%,46,"$8,380.82"
google / organic,20170105,"5,748",48.90%,"2,811",19.12%,5.04,00:04:21,0.47%,27,"$3,854.50"
google / organic,20160217,"5,744",50.10%,"2,878",26.85%,4.91,00:04:09,0.57%,33,"$5,043.13"
ls / affiliate,20170123,"5,744",42.64%,"2,449",24.56%,3.52,00:03:00,1.50%,86,"$12,990.81"
(direct) / (none),20170711,"5,742",74.57%,"4,282",53.41%,3.64,00:03:05,0.52%,30,"$5,847.77"
google / organic,20161116,"5,741",50.29%,"2,887",18.45%,5.44,00:04:49,0.84%,48,"$7,733.94"
(direct) / (none),20160705,"5,740",62.80%,"3,605",17.06%,2.90,00:02:16,0.70%,40,"$6,119.96"
google / organic,20160424,"5,738",51.03%,"2,928",14.71%,4.79,00:04:12,0.52%,30,"$8,737.86"
(direct) / (none),20160519,"5,737",58.41%,"3,351",16.59%,2.51,00:02:03,0.31%,18,"$3,803.24"
google / cpc,20170627,"5,736",49.34%,"2,830",22.21%,4.88,00:04:09,1.34%,77,"$12,325.82"
(direct) / (none),20160530,"5,733",62.62%,"3,590",14.81%,2.50,00:02:03,0.47%,27,"$4,180.30"
(direct) / (none),20170215,"5,733",66.77%,"3,828",24.49%,2.53,00:01:44,0.19%,11,"$1,393.24"
google / cpc,20170105,"5,732",49.21%,"2,821",16.84%,4.69,00:03:34,0.75%,43,"$5,855.17"
google / cpc,20161217,"5,730",44.52%,"2,551",18.46%,4.97,00:03:47,1.54%,88,"$15,633.64"
bm23 / email,20170313,"5,728",26.87%,"1,539",29.63%,4.46,00:03:55,1.13%,65,"$15,376.90"
ls / affiliate,20170314,"5,726",56.27%,"3,222",24.26%,3.60,00:03:52,2.50%,143,"$52,329.83"
google / organic,20161114,"5,724",48.69%,"2,787",18.40%,5.27,00:04:33,0.65%,37,"$5,458.26"
bm23 / email,20160921,"5,723",25.42%,"1,455",36.73%,3.82,00:03:14,0.80%,46,"$7,158.60"
google / cpc,20160911,"5,723",48.12%,"2,754",21.81%,5.49,00:04:20,1.08%,62,"$9,416.72"
google / cpc,20170902,"5,722",45.16%,"2,584",36.16%,4.78,00:03:39,1.22%,70,"$11,525.42"
eean / affiliate,20160310,"5,720",44.53%,"2,547",21.14%,3.58,00:03:52,0.91%,52,"$16,784.15"
google / organic,20160410,"5,720",50.80%,"2,906",15.47%,4.54,00:03:51,0.61%,35,"$7,278.96"
(direct) / (none),20160622,"5,719",61.97%,"3,544",17.36%,3.35,00:02:52,0.70%,40,"$5,651.55"
google / organic,20160525,"5,716",48.39%,"2,766",14.26%,4.89,00:04:36,1.21%,69,"$10,843.83"
google / organic,20160928,"5,716",48.88%,"2,794",20.21%,5.39,00:04:53,0.73%,42,"$8,428.98"
google / organic,20170130,"5,716",50.21%,"2,870",18.39%,5.18,00:04:26,0.70%,40,"$5,520.38"
(direct) / (none),20170212,"5,712",67.12%,"3,834",23.65%,2.68,00:01:49,0.33%,19,"$4,192.57"
google / cpc,20170424,"5,712",49.37%,"2,820",16.63%,4.43,00:03:23,1.02%,58,"$11,206.48"
rebeccaminkoff.com / referral,20161125,"5,711",1.03%,59,12.43%,9.33,00:11:42,1.28%,73,"$12,188.68"
google / cpc,20170525,"5,709",49.61%,"2,832",21.90%,4.40,00:03:34,1.42%,81,"$12,542.37"
google / organic,20160425,"5,709",52.09%,"2,974",14.92%,4.58,00:03:54,0.68%,39,"$9,434.38"
google / cpc,20160711,"5,706",54.49%,"3,109",28.74%,3.98,00:02:54,0.88%,50,"$7,360.91"
google / organic,20160301,"5,706",47.20%,"2,693",24.50%,5.26,00:04:28,0.98%,56,"$10,506.38"
google / organic,20170217,"5,706",48.72%,"2,780",17.81%,5.51,00:05:06,0.88%,50,"$8,175.64"
google / organic,20161111,"5,705",49.22%,"2,808",18.35%,6.01,00:05:28,1.07%,61,"$9,545.69"
bm23 / email,20160930,"5,704",23.70%,"1,352",32.29%,3.92,00:03:29,1.17%,67,"$11,615.02"
google / cpc,20160707,"5,704",54.70%,"3,120",28.31%,3.95,00:03:00,0.84%,48,"$5,427.60"
google / organic,20170110,"5,701",47.18%,"2,690",20.36%,4.97,00:04:15,0.40%,23,"$3,409.91"
bm23 / email,20170601,"5,699",23.95%,"1,365",35.25%,3.90,00:03:41,1.49%,85,"$12,040.15"
bm23 / email,20170211,"5,696",26.05%,"1,484",33.46%,3.98,00:03:03,0.56%,32,"$6,622.86"
google / cpc,20161002,"5,696",48.00%,"2,734",25.60%,5.39,00:04:22,1.23%,70,"$14,249.05"
(direct) / (none),20170531,"5,695",79.30%,"4,516",36.12%,3.56,00:03:10,0.84%,48,"$5,793.18"
(direct) / (none),20161019,"5,688",64.29%,"3,657",26.23%,2.54,00:02:06,0.44%,25,"$3,914.47"
Rebecca Minkoff Newsletter / email,20160214,"5,687",21.36%,"1,215",25.69%,4.36,00:03:41,0.44%,25,"$4,005.77"
(direct) / (none),20160920,"5,686",55.21%,"3,139",17.71%,2.91,00:03:35,0.44%,25,"$5,690.49"
(direct) / (none),20170302,"5,685",74.93%,"4,260",29.18%,2.92,00:02:51,0.39%,22,"$4,383.09"
google / cpc,20171102,"5,683",55.13%,"3,133",34.65%,3.45,00:03:01,0.90%,51,"$7,648.78"
google / organic,20170123,"5,678",47.85%,"2,717",18.67%,5.42,00:04:51,0.79%,45,"$6,834.76"
google / organic,20170107,"5,675",46.13%,"2,618",18.85%,5.70,00:04:49,0.83%,47,"$6,919.76"
google / organic,20160303,"5,674",47.29%,"2,683",26.67%,5.17,00:04:19,0.86%,49,"$8,965.60"
(direct) / (none),20160413,"5,673",57.24%,"3,247",12.29%,2.30,00:01:36,0.32%,18,"$3,339.11"
google / organic,20160426,"5,672",53.35%,"3,026",15.00%,4.85,00:04:16,0.56%,32,"$5,763.55"
eean / affiliate,20160629,"5,671",28.90%,"1,639",16.40%,5.48,00:05:37,1.52%,86,"$12,401.95"
google / organic,20170813,"5,671",44.45%,"2,521",20.58%,6.32,00:05:37,1.52%,86,"$14,285.17"
(direct) / (none),20160830,"5,669",53.03%,"3,006",13.57%,2.41,00:02:07,0.21%,12,"$1,862.24"
(direct) / (none),20170508,"5,667",77.02%,"4,365",33.92%,4.00,00:03:18,0.92%,52,"$7,530.60"
google / organic,20160804,"5,667",48.42%,"2,744",17.80%,5.66,00:05:00,1.22%,69,"$11,814.98"
google / organic,20160503,"5,664",50.32%,"2,850",15.57%,5.00,00:04:26,0.74%,42,"$7,886.52"
ls / affiliate,20161119,"5,663",60.20%,"3,409",27.12%,3.25,00:02:46,2.00%,113,"$20,130.92"
google / organic,20161117,"5,659",50.79%,"2,874",18.64%,5.64,00:04:59,0.83%,47,"$7,419.20"
google / organic,20170124,"5,659",47.94%,"2,713",17.02%,5.42,00:05:05,0.90%,51,"$8,242.70"
google / organic,20170114,"5,656",48.53%,"2,745",19.57%,5.41,00:04:33,0.88%,50,"$7,053.87"
google / organic,20170212,"5,655",47.04%,"2,660",20.76%,5.37,00:04:16,0.71%,40,"$8,144.35"
(direct) / (none),20170623,"5,648",78.49%,"4,433",56.57%,2.97,00:02:13,0.41%,23,"$3,432.58"
google / cpc,20170507,"5,646",48.26%,"2,725",18.90%,4.72,00:03:30,0.94%,53,"$8,701.69"
google / organic,20160602,"5,646",47.80%,"2,699",19.61%,4.90,00:04:30,1.08%,61,"$8,585.91"
google / organic,20160817,"5,645",48.43%,"2,734",18.14%,5.48,00:05:12,1.20%,68,"$9,605.68"
(direct) / (none),20160501,"5,644",60.97%,"3,441",13.93%,2.55,00:01:50,0.44%,25,"$4,369.27"
(direct) / (none),20160418,"5,643",58.23%,"3,286",13.84%,2.54,00:01:58,0.57%,32,"$6,068.91"
bm23 / email,20160904,"5,643",21.55%,"1,216",28.05%,5.38,00:04:25,1.67%,94,"$14,980.05"
bm23 / email,20160715,"5,642",23.66%,"1,335",33.20%,3.50,00:03:06,0.90%,51,"$6,853.83"
(direct) / (none),20160613,"5,641",60.96%,"3,439",20.16%,2.99,00:02:25,0.69%,39,"$7,553.93"
Rebecca Minkoff Newsletter / email,20160411,"5,641",28.33%,"1,598",22.23%,3.05,00:02:46,0.35%,20,"$2,590.31"
(direct) / (none),20160623,"5,639",61.06%,"3,443",18.30%,3.33,00:02:52,0.64%,36,"$5,571.97"
bm23 / email,20161225,"5,639",20.84%,"1,175",23.89%,5.34,00:04:28,1.26%,71,"$10,238.03"
google / cpc,20170107,"5,639",44.33%,"2,500",15.55%,5.14,00:03:52,0.66%,37,"$6,101.81"
google / cpc,20161202,"5,638",43.67%,"2,462",15.96%,5.11,00:04:05,0.76%,43,"$6,607.89"
(direct) / (none),20170224,"5,635",70.91%,"3,996",27.24%,2.66,00:02:00,0.41%,23,"$3,533.50"
google / cpc,20170217,"5,632",45.72%,"2,575",21.52%,5.00,00:03:55,1.26%,71,"$12,193.86"
(direct) / (none),20170210,"5,629",69.18%,"3,894",27.39%,2.52,00:01:52,0.57%,32,"$4,678.98"
bm23 / email,20161109,"5,629",22.51%,"1,267",29.01%,4.14,00:03:49,1.23%,69,"$9,330.65"
(direct) / (none),20170217,"5,628",69.55%,"3,914",25.73%,2.81,00:02:02,0.57%,32,"$5,768.32"
(direct) / (none),20161003,"5,622",62.68%,"3,524",22.09%,3.89,00:03:42,0.69%,39,"$6,183.88"
google / organic,20170118,"5,621",46.20%,"2,597",19.07%,5.56,00:04:51,0.69%,39,"$5,968.05"
google / cpc,20160712,"5,619",52.63%,"2,957",28.39%,4.16,00:03:18,1.05%,59,"$7,236.27"
bm23 / email,20170226,"5,618",23.55%,"1,323",35.62%,3.97,00:03:20,1.03%,58,"$12,690.06"
google / cpc,20160815,"5,615",53.00%,"2,976",20.78%,3.95,00:03:00,0.80%,45,"$7,165.91"
google / organic,20160316,"5,614",49.06%,"2,754",20.31%,4.68,00:03:53,0.46%,26,"$7,236.44"
eean / affiliate,20160514,"5,613",26.17%,"1,469",12.58%,3.80,00:04:01,1.71%,96,"$15,447.39"
(direct) / (none),20161231,"5,611",67.40%,"3,782",29.28%,3.07,00:02:19,0.68%,38,"$6,395.87"
google / organic,20160929,"5,611",50.45%,"2,831",20.87%,5.41,00:04:48,0.77%,43,"$8,980.80"
bm23 / email,20170120,"5,605",24.07%,"1,349",39.73%,3.40,00:02:39,0.50%,28,"$5,312.69"
(direct) / (none),20160615,"5,603",60.66%,"3,399",18.86%,3.09,00:02:24,0.54%,30,"$3,690.96"
(direct) / (none),20160611,"5,602",62.10%,"3,479",20.90%,3.08,00:02:18,0.36%,20,"$3,334.39"
google / organic,20160701,"5,599",44.47%,"2,490",17.90%,5.26,00:04:42,1.32%,74,"$10,155.41"
google / organic,20170122,"5,599",49.58%,"2,776",20.31%,5.31,00:04:28,0.41%,23,"$4,127.26"
(direct) / (none),20160614,"5,598",60.70%,"3,398",18.17%,3.22,00:02:38,0.57%,32,"$5,994.03"
google / organic,20170131,"5,598",48.48%,"2,714",18.24%,5.50,00:04:50,0.66%,37,"$6,059.42"
google / organic,20160504,"5,597",50.92%,"2,850",16.47%,4.70,00:04:14,1.05%,59,"$11,812.98"
google / organic,20170301,"5,597",47.04%,"2,633",17.92%,5.75,00:05:14,0.96%,54,"$9,418.34"
google / cpc,20160408,"5,596",39.40%,"2,205",16.90%,4.58,00:03:31,0.70%,39,"$6,787.52"
(direct) / (none),20160904,"5,595",62.88%,"3,518",19.34%,3.46,00:02:53,0.75%,42,"$7,147.51"
google / cpc,20170901,"5,594",42.72%,"2,390",33.93%,4.85,00:03:38,0.73%,41,"$5,956.53"
google / organic,20160421,"5,594",49.45%,"2,766",17.68%,4.56,00:03:54,0.63%,35,"$6,386.00"
bm23 / email,20160923,"5,593",26.05%,"1,457",34.33%,3.20,00:02:45,1.31%,73,"$16,018.30"
google / cpc,20160211,"5,591",45.43%,"2,540",27.13%,5.36,00:04:21,0.80%,45,"$7,742.30"
bm23 / email,20160810,"5,590",24.63%,"1,377",34.28%,3.74,00:03:12,0.89%,50,"$9,014.05"
cj / affiliate,20160904,"5,587",49.01%,"2,738",25.99%,2.47,00:02:30,1.00%,56,"$7,557.00"
google / cpc,20170228,"5,586",48.98%,"2,736",20.44%,4.46,00:03:19,0.93%,52,"$8,584.08"
(direct) / (none),20170603,"5,583",76.61%,"4,277",36.31%,3.69,00:03:16,0.36%,20,"$4,036.97"
(direct) / (none),20161204,"5,578",65.17%,"3,635",27.84%,2.79,00:01:55,0.79%,44,"$8,819.09"
google / cpc,20170130,"5,576",45.52%,"2,538",20.16%,5.01,00:03:48,0.91%,51,"$7,358.40"
google / cpc,20161102,"5,571",44.82%,"2,497",17.91%,4.60,00:03:28,0.65%,36,"$5,888.24"
google / cpc,20170305,"5,571",46.47%,"2,589",19.39%,4.96,00:03:36,0.54%,30,"$5,208.51"
google / cpc,20161209,"5,570",45.22%,"2,519",16.18%,4.88,00:03:41,1.62%,90,"$15,982.08"
(direct) / (none),20160416,"5,567",58.45%,"3,254",14.12%,2.66,00:02:08,0.43%,24,"$4,157.28"
(direct) / (none),20160417,"5,565",58.24%,"3,241",14.25%,2.42,00:01:42,0.31%,17,"$3,172.42"
google / organic,20170203,"5,563",49.58%,"2,758",19.04%,5.42,00:04:39,0.56%,31,"$6,460.37"
google / cpc,20170206,"5,562",44.86%,"2,495",15.59%,4.93,00:03:57,1.01%,56,"$11,690.82"
bm23 / email,20160912,"5,557",25.43%,"1,413",38.29%,3.95,00:03:26,1.01%,56,"$11,928.43"
google / organic,20160818,"5,555",47.74%,"2,652",19.23%,5.65,00:05:08,1.08%,60,"$8,581.02"
